,CO2 factor,Date
197,0.492934674942694,2022-01-02 17:15:00-08:00
198,0.5136762166709543,2022-01-02 17:30:00-08:00
199,0.48423404497860534,2022-01-02 17:45:00-08:00
200,0.4344159612053713,2022-01-02 18:00:00-08:00
201,0.41704843473032566,2022-01-02 18:15:00-08:00
202,0.437138814410903,2022-01-02 18:30:00-08:00
203,0.4623650532183787,2022-01-02 18:45:00-08:00
204,0.5168378609207527,2022-01-02 19:00:00-08:00
205,0.4938346409113414,2022-01-02 19:15:00-08:00
206,0.5283468599703907,2022-01-02 19:30:00-08:00
207,0.522411801743603,2022-01-02 19:45:00-08:00
208,0.5305925582103673,2022-01-02 20:00:00-08:00
209,0.5387197982877007,2022-01-02 20:15:00-08:00
210,0.53077151102657,2022-01-02 20:30:00-08:00
211,0.5383851829249217,2022-01-02 20:45:00-08:00
212,0.55176453643609,2022-01-02 21:00:00-08:00
213,0.5124728663694423,2022-01-02 21:15:00-08:00
214,0.513177465990077,2022-01-02 21:30:00-08:00
215,0.44114722350583496,2022-01-02 21:45:00-08:00
216,0.48105512021572533,2022-01-02 22:00:00-08:00
217,0.4548013312637697,2022-01-02 22:15:00-08:00
218,0.4406959203454834,2022-01-02 22:30:00-08:00
219,0.4111413563536827,2022-01-02 22:45:00-08:00
220,0.40747254776384406,2022-01-02 23:00:00-08:00
221,0.4111048249155367,2022-01-02 23:15:00-08:00
222,0.3907223710668713,2022-01-02 23:30:00-08:00
223,0.37630636410786605,2022-01-02 23:45:00-08:00
224,0.4094148222627167,2022-01-03 00:00:00-08:00
225,0.384737776682857,2022-01-03 00:15:00-08:00
226,0.38009322007954466,2022-01-03 00:30:00-08:00
227,0.3797008125333347,2022-01-03 00:45:00-08:00
228,0.3804535099104483,2022-01-03 01:00:00-08:00
229,0.368072682375266,2022-01-03 01:15:00-08:00
230,0.372829887431588,2022-01-03 01:30:00-08:00
231,0.37046986588841696,2022-01-03 01:45:00-08:00
232,0.3789412581225224,2022-01-03 02:00:00-08:00
233,0.37706641112167333,2022-01-03 02:15:00-08:00
234,0.36853866510488337,2022-01-03 02:30:00-08:00
235,0.36691825740326606,2022-01-03 02:45:00-08:00
236,0.3682991615284743,2022-01-03 03:00:00-08:00
237,0.37326223522867297,2022-01-03 03:15:00-08:00
238,0.3774835670423773,2022-01-03 03:30:00-08:00
239,0.378791881190169,2022-01-03 03:45:00-08:00
240,0.3860639033549657,2022-01-03 04:00:00-08:00
241,0.379565267893094,2022-01-03 04:15:00-08:00
242,0.402082741940709,2022-01-03 04:30:00-08:00
243,0.41793052906229633,2022-01-03 04:45:00-08:00
244,0.40342675995361366,2022-01-03 05:00:00-08:00
245,0.3780734886856603,2022-01-03 05:15:00-08:00
246,0.420878757990327,2022-01-03 05:30:00-08:00
247,0.447793935428152,2022-01-03 05:45:00-08:00
248,0.46531257279809535,2022-01-03 06:00:00-08:00
